 epoch      loss_v        runtime(s)
     0759174.687500     12.8264
    10688967.187500     13.6083
    20506014.968750     14.3339
    30149767.375000     15.0179
    4076962.531250     15.6812
    5036338.757812     16.4090
    6015915.926758     17.0906
    70 6666.496094     17.7568
    80 2506.735107     18.4350
    90 1452.280151     19.1138
   100 1467.170532     19.7948
   110  809.199280     20.4878
   120  156.190460     21.2197
   130  223.940125     21.9027
   140  151.234467     22.5924
   150  181.908112     23.3117
   160  200.221024     24.0371
   170  216.013199     24.7864
   180  191.833069     25.4729
   190  114.588226     26.2025
   200  130.580597     26.9376
   210   98.747688     27.6542
   220  187.867981     28.3396
   230  186.360519     29.0317
   240  329.047607     29.7437
   250  494.066284     30.4337
   260   80.687729     31.1080
   270  174.430847     31.7876
   280  123.599945     32.4962
   290  301.576843     33.2181
   300  243.575150     33.9297
   310  104.087784     34.6144
   320   87.881371     35.3437
   330  237.088852     36.0899
   340 1153.696533     36.8655
   350  325.703705     37.5671
   360  356.639435     38.2768
   370  221.590454     38.9716
   380  138.422180     39.6711
   390   90.193489     40.4170
   400  109.619812     41.1313
   410   75.238060     41.8491
   420   88.801781     42.5709
   430   75.942513     43.2526
   440   72.431221     43.9416
   450  155.600098     44.6486
   460  228.986969     45.4489
   470   99.062576     46.2598
   480  182.196854     47.3008
   490  243.364807     48.3001
   500   72.973785     49.2086
   510  213.080704     49.9707
   520   99.462639     50.7164
   530  226.391617     51.4668
   540   72.880356     52.2127
   550  255.741943     52.9580
   560   77.479347     53.6411
   570  106.229309     54.3591
   580   77.009369     55.0676
   590   66.798508     55.7785
   600   72.643761     56.5263
   610   88.250694     57.2469
   620  155.765457     57.9552
   630  222.506882     58.6989
   640   69.180191     59.4092
   650  102.537201     60.1497
   660   78.485992     60.8390
   670  181.687637     61.5378
   680   75.309341     62.2427
   690  130.599930     62.9426
   700  106.068497     63.6281
   710   83.125938     64.3394
   720  144.293823     65.0245
   730  108.260948     65.7115
   740  209.763153     66.4771
   750  160.720535     67.1824
   760   79.169815     67.9056
   770  172.847626     68.7028
   780  295.853973     69.4174
   790   92.785492     70.1121
   800  253.421417     70.7944
   810   86.390198     71.4980
   820   66.327148     72.1810
   830   70.564308     72.8676
   840   61.642750     73.5476
   850  102.464798     74.2402
   860   69.713264     74.9188
   870  178.216629     75.6016
   880  110.153793     76.4734
   890  126.916321     77.2451
   900  123.089691     77.9870
   910   86.353386     78.7157
   920   86.052689     79.4555
   930   90.637009     80.1507
   940   95.527939     80.8543
   950   66.756363     81.5552
   960   75.886505     82.2528
   970   68.042831     82.9333
   980   78.683395     83.6290
   990   80.665405     84.3537
